#;Project;Tracker;Parent task;Status;Priority;Subject;Author;Assigned To;Updated;Category;Target version;Start date;Due date;Estimated time;% Done;Created;Story points;Velocity based estimate;Position;Remaining (hours);Tags;Description
29181;Official Doc Extension Template;Feature;;Closed;Should have;Include font files in extension;Francois Suter;Chris topher;23/8/2011 22:22;;1.6.0;23/8/2011;;;100;23/8/2011 10:46;;;230800;;;"Now that the extension template has been updated to the new design, questions are appearing about the fonts.

I saw that there are no mentions of the fonts in the document. I think it should be added (probably in the last chapter, about guidelines).

Furthermore what about packaging the fonts within the extension itself, inside a resources folder with a README.txt file explaining where they come from?"
30511;TSconfig;Feature;;Closed;Should have;Added description of #25705;Christian Woebbeking;Christian Woebbeking;27/10/2011 21:07;;4.6.0;2/10/2011;;;0;2/10/2011 11:31;;;295800;;;Add option to hide BE search box in list module
30815;Extbase Book Translation;Feature;;Resolved;Should have;Add definition for inline markup methodname;Fabien Udriot;Fabien Udriot;25/10/2011 7:26;;;12/10/2011;;;100;12/10/2011 6:32;;;310650;;;Dig into Sphinx documentation how custom markup can be added.
31403;TCA Reference;Feature;;Closed;Must have;Refine Extending $TCA chapter;Francois Suter;Francois Suter;21/11/2011 20:58;;4.6.0;29/10/2011;;;100;29/10/2011 22:02;;;339400;;;"The ""Extending the $TCA array"" chapter was introduced with version 4.5.0 as part of restructuring the document. It is however very short. There should be more examples and the current example should be more detailed."
31768;TypoScript Reference (TSref);Feature;;Closed;Should have;New property config.htmlTag_stdWrap;Oliver Hader;Chris topher;23/4/2012 20:46;;4.7.0;12/11/2011;;;100;12/11/2011 11:36;;;357300;;;"In ""CONFIG"" section, add a new property below ""htmlTag_setParams"":

<pre>
Property: htmlTag_stdWrap
Type: stdWrap
Description: Modify the whole <html> tag with stdWrap functionality. This can be used to extend or override this tag.
</pre>

See #31767"
32081;TCA Reference;Feature;;New;Should have;document timezone handling / eval datetime;Peter Niederlag;;11/10/2015 7:09;;;25/11/2011;;;0;25/11/2011 10:28;;;372800;;;"for type=input there is a js eval func that makes sure a datetime value is entered.

The value will be converted from Client-TZ(Browser) to UTC by JS and then the UTC-Value will be sent to TCEmain.

Inside TCEmain the value will then be converted to the TZ of the Server by applying the offset From UTC to Server-Timezone."
32116;wiki.typo3.org;Feature;;Resolved;Should have;Test / install the reST plugin for MediaWiki;Fabien Udriot;Chris topher;16/12/2011 3:41;;;27/11/2011;;;100;27/11/2011 15:15;;;374500;;;"Could we give a try to RstToHtml extension which enables the reST syntax into our Wiki?

http://www.mediawiki.org/wiki/Extension%3aRstToHtml

MediaWiki will then identify the following markup.

<pre>
<rst>

Take some reST as header
========================

* bla
* bla

</rst>
</pre>"
32120;wiki.typo3.org;Feature;;Resolved;Should have;Clean up the Wiki;Fabien Udriot;Chris topher;7/12/2011 15:36;;;28/11/2011;;;100;28/11/2011 6:53;;;374700;;;Some work (mainly maintenance) has been done recently on the Wiki. This ticket is for keeping track and reporting the tasks being achieved - in an effort to better document how the system works / evolves. 
32310;Documentation;Feature;;Closed;Should have;Add the Security Guide to the list of documents on typo3.org;Chris topher;Francois Suter;6/12/2011 16:09;;;5/12/2011;;;0;5/12/2011 20:39;;;384200;;;Add the new Security Guide to the preview page.
32347;TypoScript Reference (TSref);Feature;;Closed;Must have;Add documentation for new sub-properties of filelink.icon;Lorenz Ulrich;Chris topher;23/4/2012 20:46;;4.7.0;6/12/2011;;;100;6/12/2011 19:47;;;386050;;;"In #23624 new properties for cObject filelink were introduced.

New sub properties of filelink.icon:

* path: path to icon set (default: tslib/media/fileicons/)
* ext: file extension of icons (default: gif)
* widthAttribute: width of icons (default: 18)
* heightAttribute: height of icons (default: 16)

This change was applied to master and will therefore be in TYPO3 4.7. Thanks!"
32572;wiki.typo3.org;Feature;;Resolved;Should have;After login the user should be redirected to the wiki page from which he came;Chris topher;Helmut Hummel;10/3/2012 16:16;;;14/12/2011;;;100;14/12/2011 22:09;;;396850;;;"SSO is ready. There is only one thing, which still has to be done:

When you click the login link, a URL on typo3.org is called like that:
https://typo3.org/community/your-account/wiki-login/?returnTo=Main_Page

Currently there is no redirection after successful login, you always land on the Main Page of the Wiki. This is still rather annoying.

After successful login, the user should be redirected to the wiki page, from which he came. This can be done using the value of the part @returnto=XXX@ in the URL with which typo3.org is called. 
"
32662;TypoScript Reference (TSref);Feature;Feature #25404: Add the possibility to store anonymized log information;Closed;Must have;New config.stat_* options to allow anonymized storage of statistic log information;Steffen Gebert;Chris topher;23/4/2012 20:46;;4.7.0;18/12/2011;;;100;18/12/2011 14:05;;;401350;;;"New options in config allow the anonymized storage of statistic log information.
(necessary e.g. in Germany: see e.g. http://www.saechsdsb.de/ipmask)


config.stat_IP_anonymize:
set to 1 to activate anonymized logging
config.stat_IP_anonymize_mask_ipv4:
config.stat_IP_anonymize_mask_ipv6:
Prefix-mask (0..32 for IPv4, 0..128 for IPv6) to use for
anonymisation. Setting this to will log an empty hostname.
Recommendation for Germany: config.stat_IP_anonymize_ipv4 = 24
if not set, defaults to 24 and 64, resp.

config.stat_logUser: configure username logging


"
33510;Core APIs;Feature;;Closed;Should have;displayCond within Flexform sections;Tolleiv Nietsch;Francois Suter;17/2/2013 20:53;;4.7.0;28/1/2012;;;100;28/1/2012 15:44;;;442050;;;https://review.typo3.org/#change,8677 introduced this feature which should be mentioned in the manual.
33715;TypoScript Reference (TSref);Feature;;Closed;Should have;Document orderedStdWrap;Philipp Gampe;Chris topher;23/4/2012 20:46;;4.7.0;6/2/2012;;;100;6/2/2012 20:16;;;452200;;;"Here is an example:
<pre><code class=""TXT"">
10 = TEXT
10.value = a
10.orderedStdWrap {
  30.wrap = |.

  10.wrap = is | working
  10.innerWrap = &nbsp,|&nbsp,

  20.wrap = This|solution
  20.stdWrap.wrap = &nbsp,|&nbsp,
}
</code></pre>
This results in ""@This is a working solution.@""

The purpose of this property is to allow the integrator to add multiply stdWrap statements without having to remember the rather complex sorting order in which the stdWrap functions are executed.

orderedStdWrap consists of an array of keys (like COA). Each key carries the value of content and then a normal stdWrap is done. So one could think each key as a TEXT object with the value of the current content.

The execution is done in order which means that all keys are first sorted and then process separately.
In this example 10.innerWrap is executed first, followed by 10.wrap.
Then the next key is processed which is 20. Afterwards the 30.wrap is executed on what is already created.

orderedStdWrap returns the content after processing it with each given key.

https://review.typo3.org/#change,3922"
33724;TypoScript Reference (TSref);Feature;;Closed;Should have;Add conditions as page.includeCSS.if and page.includeJS*.if;Tolleiv Nietsch;Chris topher;23/4/2012 20:46;;4.7.0;7/2/2012;;;100;7/2/2012 7:55;;;452650;;;"WIthin #29423 the following options were added:
* page.includeCSS.fileX.if
* page.includeJS.fileX.if
* page.includeJSlibs.fileX.if
* page.includeJSFooter.fileX.if
* page.includeJSFooterlibs.fileX.if 

""Diff"":http://forge.typo3.org/projects/typo3v4-core/repository/revisions/6ad942e8c16ba0be01bfe24816a7fdb0b70c4fcd/diff/typo3/sysext/cms/tslib/class.tslib_pagegen.php
They need to be added to the related parts in the tsref.

They're all of type ""->if"" and in case the condition does not validate to TRUE, the related file will not be used as resource during rendering."
33880;Documentation;Feature;;New;Should have;New TypoScript-Option for Formwizard and Subject;Steffen Ritter;;31/3/2012 14:41;Manuals;;13/2/2012;;;0;13/2/2012 13:58;;;460400;;;"Has been merged http://forge.typo3.org/issues/32132

""I'm attaching my slightly modified TS, which was originally generated by the FormWizard.
The new thing is actually:
subjectField = subject
""

As I haven't found the right place where to open a documentation ticket, I'll do it here.
please move the ticket accordingly and drop me a short note"
34021;Documentation;Feature;;Resolved;Should have;Update Documentation of Form Wizard to include postprocessors;Franz Geiger;Franz Geiger;21/10/2012 22:46;Manuals;;14/2/2012;;;100;17/2/2012 2:45;;;467350;;;"Using postprocessors is not documented in the Form Wizard documentation.
Also issue #32701 added an interface for postprocessors.

Attached is a draft to be included in the Form Wizard documentation to describe how to use postprocessors.

Please inlcude this in the manual. Thanks"
34055;Coding Guidelines;Feature;;Resolved;Should have;Adapt note on complete removal of all debug output;Franz Holzinger;Chris topher;19/5/2013 14:36;;;18/2/2012;;;100;18/2/2012 9:56;;;469050;;;"The text currently says ""all debug statements must be removed"". This is generally correct, but not completely, sometimes it is necessary to have error debug output.

E.g. t3lib_div::getUserObj produces the debug output
debug(""Class '"" . $class . ""' was not prepended with '"" . $checkPrefix . ""'"", 't3lib_div::getUserObj'),

The developer will add more debug commands when the PHP code is under development.
At the end a tool should help to remove all debug commands. However there are debug commands which should remain and never be removed.

So I need a hint at the end of the debug command.

E.g.

debug(""Class '"" . $class . ""' was not prepended with '"" . $checkPrefix . ""'"", 't3lib_div::getUserObj'), // must remain

or

debug(""Class '"" . $class . ""' was not prepended with '"" . $checkPrefix . ""'"", 't3lib_div::getUserObj'), // %keep

Then a tool could search and remove all debug commands in the PHP code except the line which have the '%keep' at the end.

or use this convention

debug(""* Class '"" . $class . ""' was not prepended with '"" . $checkPrefix . ""'"", 't3lib_div::getUserObj'),
A leading '*' in the debug output means that this is an error debugging."
34307;TypoScript Reference (TSref);Feature;;Closed;Should have;"Add documentation for stdWrap function ""cache""";Tolleiv Nietsch;Chris topher;23/4/2012 20:46;;4.7.0;26/2/2012;;;100;26/2/2012 23:14;;;481400;;;"The stdWrap options to store and read data from the cachingframework will be added within #34299

The commit message already gives a good explaination:

Problem:
* Cacheable content is always page specific.
Pages cannot share cached content.
* Cacheable content has no individual lifetime
but is bound to the lifetime of the page where it is placed.

Solution:
Introduce new configuration options that will store the
content into the caching framework:

Examples:
5 = TEXT
5 {
cache.key = mycurrenttimestamp
cache.tags = tag_a,tag_b,tag_c
cache.lifetime = 3600
data = date : U
strftime = %H:%M:%S
}

or (for page specific cache that doesn't take
other parameters into account)
5 = TEXT
5 {
cache.key = mycurrenttimestamp_{page:id}
cache.key.insertData = 1
}

See details on http://www.fabrizio-branca.de/typo3-individual-cobject-caching.html
"
35999;TypoScript Reference (TSref);Feature;;Closed;Should have;Add documentation for stdWrap of the cObject USER;most wanted;Chris topher;3/3/2013 20:51;;6.0;13/4/2012;;;100;13/4/2012 18:18;;;564350;;;"In #35305 the cObject USER got the new property stdWrap, type ->stdWrap.

Please see (1) https://review.typo3.org/#/c/9966/ and (2) #35305 for more information."
36389;TCA Reference;Feature;;Closed;Should have;Integrate column configuration appearance/headerThumbnail (type inline);Oliver Hader;Francois Suter;29/4/2013 22:40;;6.0.0;20/4/2012;;;100;20/4/2012 19:17;;;582900;;;"For type ""inline"" (IRRE)

Integrate column configuration appearance/headerThumbnail

@todo Write documentation once issue #33751 is accepted that way"
36390;TCA Reference;Feature;;Closed;Should have;Integrate column configuration foreign_selector_fieldTcaOverride (type inline);Oliver Hader;Francois Suter;29/4/2013 22:40;;6.0.0;20/4/2012;;;100;20/4/2012 19:19;;;582950;;;"For type ""inline"" (IRRE)

Integrate column configuration foreign_selector_fieldTcaOverride (to override TCA configuration for a given IRRE context)

@todo Write documentation once issue #33751 is accepted that way
"
36391;TypoScript Reference (TSref);Feature;;Closed;Should have;Integrate new cObject FILES;Oliver Hader;Chris topher;3/3/2013 20:51;;6.0;20/4/2012;;;100;20/4/2012 19:21;;;583000;;;"Integrate new cObject FILES

@todo Write documentation once issue #33752 is accepted that way"
36876;TCA Reference;Feature;;Closed;Should have;"Documentation for [FEATURE] Item filters for TCA types ""group"" and ""inline""";Ingmar Schlecht;Francois Suter;29/4/2013 22:40;;6.0.0;6/5/2012;;;100;6/5/2012 8:19;;;607000;;;"This is the documentation for https://review.typo3.org/#/c/10953/

(see attachment)"
37234;TypoScript Reference (TSref);Feature;;Closed;Should have;HMENU: sectionIndex.useColPos allows configuration of the value for colPos;Stefan Galinski;Chris topher;3/3/2013 20:51;;6.0;16/5/2012;;;100;16/5/2012 18:15;;;624500;;;"In HMENUs @sectionIndex.where@ can be used to customize the sectionIndex' where clause used for the generation of the section menus. 

By default the where clause contains ""colPos=0"". The value ""0"" can now be manipulated. stdWrap is available. See #21142 for details."
38551;Templating Tutorial;Feature;;New;Should have;Explain concepts for structure;Francois Suter;;2/7/2012 15:36;;;2/7/2012;;;0;2/7/2012 15:36;;;690050;;;"Maybe this is already included, but someone in the English mailing list asked the following:

_""obviously much thought has gone into the creation of the new Introduction package ... i was wondering if there is some documentation available that explains the different parts and concepts, why things are setup the way they are or just a general overview and insights from the people who created this ?""_

I was wondering if this new tutorial followed the same structure as the Introduction Package, and thus could explain the logic. Else it could be an appendix to the Getting Started tutorial, although it's somewhat out of scope (but maybe ok as an appendix)."
38682;TypoScript Reference (TSref);Feature;;Closed;Should have;"Add javascriptLibs.jQuery to ""PAGE""";Lars Malach;Francois Suter;3/3/2013 20:51;;6.0;5/7/2012;;;100;5/7/2012 16:22;;;696450;;;"Add code example to documentation for #12630.

"
39012;TypoScript Reference (TSref);Feature;;Resolved;Should have;"Enhance documentation of ""prefixLocalAnchors""";Ernesto Baschny;;2/8/2012 18:35;;;17/7/2012;;;100;17/7/2012 10:25;;;712450;;;"See #17013 where a misunderstanding was interpreted as a bug.

We need to add information that once baseURL is set, the user also needs to make sure prefixLocalAnchors is set to all, else all ""anchors"" on the page won't work."
39179;TypoScript Reference (TSref);Feature;;Rejected;Should have;New property config.typolinkUseCacheHash;Francois Suter;Francois Suter;2/8/2012 18:10;;6.0;23/7/2012;;;0;23/7/2012 9:43;;;720800;;;"Feature request #39178 add a new property ""config.typolinkUseCacheHash"" to activate the use of cHashes on all typolinks. This must be documented in the TypoScript reference."
39185;Core APIs;Feature;;Closed;Should have;Add documentation on t3lib_mail;Ernesto Baschny;Francois Suter;6/1/2013 20:26;;4.5.0;3/11/2012;3/11/2012;;100;23/7/2012 12:21;;;721100;;;"The new t3lib_mail API since TYPO3 4.5 was documented here:

http://wiki.typo3.org/Pending_Documentation#t3lib_mail

This information should be migrated to the Core API some day, I guess."
39186;Core APIs;Feature;;Closed;Should have;Document form protection API (backend) in Core API;Ernesto Baschny;Francois Suter;6/1/2013 20:26;;4.5.0;3/11/2012;3/11/2012;;100;23/7/2012 12:22;;;721150;;;"Since 4.5 the Core provides a form protection against Cross-Site-Request Forgery (XSRF/CSRF). How to use this was documented here:

http://wiki.typo3.org/Pending_Documentation#The_back-end_and_install_tool_form_protection

This should be migrated to the Core APIs some day."
39783;Documentation Rendering;Feature;;Resolved;Should have;Display queue status and some stats;Fabien Udriot;;15/8/2012 18:20;;Workflow automation;13/8/2012;;;100;13/8/2012 19:01;;;750650;;;"Beanstalk is capable of giving back some stats and info about its queue. A basic stats page has been ""created"":http://preview.docs.typo3.org/render/stats that displays some info."
39794;ReST tools;Feature;;Closed;Should have;Sphinx should read Settings.yml besides conf.py for configuration;Martin Bless;Martin Bless;14/8/2012 23:13;;;14/8/2012;;;0;14/8/2012 10:55;;;751200;;;
39872;Documentation Rendering;Feature;;Resolved;Should have;Supplement the GlobalSettings (.yml) of TYPO3 Sphinx rendering;Martin Bless;Martin Bless;27/9/2012 16:24;;"TYPO3 TER & typo3.org integ.";16/8/2012;;;0;16/8/2012 22:45;;;755100;;;"I just saw that we can turn on the Sphinx extension ``sphinx.ext.extlinks``.

Then we add to our configuration:

  extlinks = {
    'forge': ('http://forge.typo3.org/issues/%s',
              'issue #')}

Afterwards we can write::

  :forge:`39834`

to create a link to ``http://forge.typo3.org/issues/39834`` with caption (title tag) ``issue #39834``.

Pretty cool. I'll add that to our GlobalSettings.yml."
39888;TypoScript Reference (TSref);Feature;;Closed;Should have;TypoScript Conditions: Allow easy comparison against multiple values;Wouter Wolters;Chris topher;3/3/2013 20:51;;6.0;17/8/2012;;;100;17/8/2012 14:55;;;755900;;;"TypoScript Conditions: Allow easy comparison against multiple values

This allows easy comparison like:
[globalVar = TSFE:id = 10|12|15] (in list)
[globalVar = TSFE:id != 10|12|15] (not in list)

See https://review.typo3.org/#/c/13589/."
39924;TCA Reference;Feature;;Closed;Should have;TCA tree supports width setting;Christian Kuhn;Francois Suter;29/4/2013 22:40;;6.0.0;18/8/2012;;;100;18/8/2012 13:52;;;757650;;;"Section
""select"" -> ""treeConfig"" -> listing ""appearance"" settings (next to nonSelectableLevels): 'width'

Set a custom width of the tree select field in pixel. Easy way to make the field wider."
39992;Documentation Rendering;Feature;;Resolved;Should have;Implement the TerDocument Command;Fabien Udriot;Fabien Udriot;20/8/2012 17:24;;Workflow automation;20/8/2012;;;100;20/8/2012 11:35;;;761050;;;"@TerDocumentCommand@ class will be shipped with three main commands:

<pre>
terdocument:fetch       Fetch and extract extension from the TER
terdocument:render      Render a TER document. This will basically create and add a document job into the queu"
40013;Documentation Rendering;Feature;;Resolved;Should have;Extract Documentation directory from t3x files;Fabien Udriot;Fabien Udriot;29/8/2012 18:48;;Workflow automation;21/8/2012;;;100;21/8/2012 10:52;;;762100;;;In the current implementation, only the OpenOffice file (manual.sxw) is extracted from the t3x. Since, developers are going to migrate their documentation to reST, we should also extract the @Documentation@ directory and give this source of documentation the priority in case both are present.
40014;Documentation Rendering;Feature;;Resolved;Should have;Display message before executing resource consuming action;Fabien Udriot;Fabien Udriot;21/8/2012 14:36;;Workflow automation;21/8/2012;;;100;21/8/2012 10:57;;;762150;;;Some actions such as synchronizing, fetching, rendering require a lot of hardware resource. A flag @limit@ already exists to limit the number of item being processed and thus save resources. However, if not limit is given, we could display a message to the user on the console to indicate how big is the task. In addition, a flag @silent@ could be added to bypass this message.
40020;Documentation Rendering;Feature;;Resolved;Should have;Implement the GitDocument Command;Fabien Udriot;Fabien Udriot;23/8/2012 18:53;;Workflow automation;21/8/2012;;;100;21/8/2012 12:58;;;762450;;;"@GitDocument@ command will deal with documentation coming from git.typo3.org. Basically; it will be shipping three main commands:

<pre>
gitdocument:fetch       Fetch and extract extension from the git.typo3.org
gitdocument:render      Render a docume"
40021;Documentation Rendering;Feature;;Rejected;Should have;Implement the SvnDocument Command;Fabien Udriot;;5/10/2012 10:32;;;21/8/2012;;;0;21/8/2012 12:59;;;762500;;;"@SvnDocument@ command will deal with documentation coming from svn.typo3.org. Basically; it will be shipping three main commands:

<pre>
svndocument:fetch       Fetch and extract extension from the svn.typo3.org
svndocument:render      Render a docume"
40374;TYPO3.Docs;Feature;;New;Should have;Detect whether a document really needs to be rendered or can be copied from another version;Fabien Udriot;;13/10/2012 17:29;;;29/8/2012;;;0;29/8/2012 12:41;;;778250;;;"Since documentation does not always change from one version to another; it could be detected whether a rendering is really necessary or if the build of the documentation can be taken from an existing version."
40378;Documentation Rendering;Feature;;Needs Feedback;Should have;Add a package and version domain model;Fabien Udriot;;29/8/2012 18:46;;;29/8/2012;;;0;29/8/2012 13:02;;;778450;;;"There currently is two data sources; one for the TER and the other for Git containing all packages with their version. The data sources are cached for obvious performance reasons and used to retrieve information upon dealing with document (e.g what will be the document version; document title; etc..). 

The drawback is that one data source relies on XML technology for storing its data while the other is a JSON serialized array. This could be improved if we put the data of these data sources into the database which would be more convenient to query. We could thus introduce a package and version domain model."
40379;TYPO3.Docs;Feature;;Resolved;Should have;Create a view listing all documents;Fabien Udriot;;3/12/2012 23:36;;;29/8/2012;;;100;29/8/2012 13:04;;;778500;;;Add a view that will list all documents. Filters and command buttons could be added in a second step.
41318;Coding Guidelines;Feature;;Rejected;Should have;Use PSR-0 for Namespace CGL ;Stefano Kowalke;Chris topher;9/5/2013 21:46;;;24/9/2012;;;100;24/9/2012 15:04;;;823200;;;"After the switch to the namespaces in TYPO3 6.0 we should start using the ""PSR-0"":https://github.com/php-fig/fig-standards/blob/master/accepted/PSR-0.md which defines ready-to-use rules for namespaces. TYPO3 6.0 follows these rules already so far I see. "
41377;ReST tools;Feature;;Resolved;Should have;Write explanatory Yaml files to Project.git.make folders on server srv123;Martin Bless;Martin Bless;27/9/2012 16:25;;Workflow automation;26/9/2012;;;0;26/9/2012 9:59;;;826150;;;
41430;Documentation Rendering;Feature;;Resolved;Should have;Create textrole :api:`something` to link to TYPO3 API targets;Martin Bless;Martin Bless;14/9/2013 2:47;;Output tuning and integration;27/9/2012;;;100;27/9/2012 16:22;;;828800;;;"see: http://lists.typo3.org/pipermail/typo3-project-documentation/2012-September/004126.html

"
41456;ReST tools;Feature;;Resolved;Should have;Make RestTools a FLOW3 package;Fabien Udriot;Fabien Udriot;28/9/2012 19:35;;Workflow automation;28/9/2012;;;100;28/9/2012 19:21;;;830100;;;RestTools should be a FLOW3 packages in term that it can be seen and activated by FLOW3. Having a proper FLOW3 package enables to compute path during the rendering process.
41458;Documentation Rendering;Feature;Task #40019: Integrate the scripts from RestTools package;Resolved;Should have;Integrate sxw2html script into the pipline;Fabien Udriot;Fabien Udriot;28/9/2012 19:42;;1.0.0dev;28/9/2012;;;100;28/9/2012 19:32;;;830200;;;sxw2html script renders legacy sxw manual to HTML. The script should be integrated and called by the rendering workflow
42653;Core APIs;Feature;Task #41919: Integrate changes for TYPO3 4.4 and 4.5;Closed;Should have;Add documentation about Ext.Direct;Francois Suter;Francois Suter;11/1/2013 9:44;;6.0;2/11/2012;;;100;2/11/2012 21:44;;;887000;;;"Get information from the wiki; rework it and integrate it."
42741;TCA Reference;Feature;;Closed;Should have;New section $TCA['ctrl]['table']['security'];Oliver Hader;Francois Suter;29/4/2013 22:40;;6.0.0;6/11/2012;;;100;6/11/2012 22:43;;;891300;;;"Add a new control section ""security"" to TCA

* TCA/<table>/ctrl/security/ignoreWebMountRestriction
** Allows users to access records that are not in their defined web-mount and by-passes this restriction..
* TCA/<table>/ctrl/security/ignoreRootLevelRestriction
** Allows users (non-admins) to access records that are stored on the root-level (page-id 0) and by-passes this restriction."
42851;Core APIs;Feature;Task #41919: Integrate changes for TYPO3 4.4 and 4.5;Closed;Should have;Add documentation about TYPO3 Viewport;Francois Suter;Francois Suter;11/1/2013 9:44;;6.0;11/11/2012;;;100;11/11/2012 11:35;;;896650;;;"Add documentation about the viewport used to structure the backend. This goes into the ExtJS chapter.

Reference: http://wiki.typo3.org/TYPO3Viewport"
42866;ReStructured Text Infrastructure;Feature;;Closed;Should have;Add Share LaTeX font;Andreas Wolf;Andreas Wolf;14/9/2013 2:44;;;12/11/2012;;;0;12/11/2012 10:03;;;897400;;;"Some time ago; I converted the Share ttf files to a format that can be used with LaTeX. I can provide these files for the documentation project; together with installation instructions (only for TeXlive 2012 as that's the distribution I use). I'll try to create an archive and a list of instructions soon."
