#;Project;Commit ID;Issue Type;Parent Issue;Status;Priority;Subject;Author;Assignee;Category;Target Version;Start Date;Created;Updated;Closed;Due Date;Estimated;% Done;Create Prev Commit; Created Next Commit;Updated Prev Commit;Updated Next Commit;Closed Prev Commit;Closed NExt Commit;Description
78497;Core APIs;null;Bug;;Resolved;Should have;Code example outside formatted area;Ralf Merz;;;;null;Sat Oct 29 13:55:00 EEST 2016;Tue Nov 01 16:13:00 EET 2016;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"Most probably due to wrong/changed URL composition.e.g. URL: <pre>https://docs.typo3.org/~mbless/git.typo3.org/Documentation/DocsTypo3Org.git/Resources/Public/CheatSheets/TYPO3%20CMS%20Coding%20Guidelines%20on%20one%20page%20v1.pdf</pre>'"
77922;TYPO3 CMS - What's New;null;Bug;;Resolved;Should have;8.3 - InDepth - LinkService (2) - Weird meaning;Pierrick Caillon;Michael Schams;;TYPO3 CMS 8.2/8.3;null;Mon Sep 12 22:33:00 EEST 2016;Tue Jan 03 00:55:00 EET 2017;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"on page https://docs.typo3.org/typo3cms/CoreApiReference/ApiOverview/MainClasses/UsefulFunctions/Index.html the example for <pre>allowTableOnStandardPages</pre>is outside the formatting area (the black background).This is also the case for addPItoST43, registerPageTSConfigFile.Kind regards,merzilla'"
76955;wiki.typo3.org;null;Task;;Resolved;Should have;Update the Wiki to MediaWiki 1.27;Chris topher;Chris topher;;;null;Wed Jul 06 14:30:00 EEST 2016;Mon Dec 19 19:14:00 EET 2016;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"The phrase is ''The resource handler key is a list of handlers available in TYPO3.''Reduced is ''The key is a list''.But the said list specify the available keys.I cannot guess exactly what the author tried to say here. But I'll make some sense of it in the translation.'"
76726;Documentation;null;Bug;;New;Should have;internal link leads to different language ;Sven Juergens;;;;null;Wed Jun 22 10:53:00 EEST 2016;Wed Jun 22 10:53:00 EEST 2016;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"MediaWiki 1.27 has been released and is now available.h2. Update the serverThe update is stalled by the outdated PHP version on the server. Needed is PHP 5.5.9 at least. The update cannot be done before a newer PHP version has been installed. For Debian Squeeze, which is used currently, only PHP 5.4 is available (and also that not from the Debian guys, but only from Dotdeb). PHP 5.5 or newer is not available. Seems like it needs a new OS or a new server.See #79027.h2. Update MediaWiki Core and run update.phpRemove old folders (except folder images, our skins and our extensions) and thencp -r mediawiki-1.27.0/* wiki/run update.php=> Done.(diff mediawiki-1.27.0/ and wiki/).h2. Update extensions (part 1: extensions from tarball or from mediawiki.org)h3. Newly bundled for 1.27 (extensions from tarball => update .gitignore)=> None.h3. Removed ones (extensions from tarball => update .gitignore)=> None.h3. Extensions from mediawiki.orgUpdate extensions from mediawiki.org.=> Done.h2. Relevant changes from the ''mailing list'':https://lists.wikimedia.org/pipermail/mediawiki-announce/2016-June/000191.html:No new details.https://lists.wikimedia.org/pipermail/mediawiki-announce/2016-June/000190.html* Update index_sso.php according to these changes:  https://phabricator.wikimedia.org/diffusion/MW/history/REL1_27/maintenance/createAndPromote.php  (Especially the last 2 ones, where support for AuthManager (namespace MediaWiki\Auth) is added,  changes e.g. for $user->setPassword($user->randomPassword()),.)  => setPassword() has been deprecated, pending the introduction of AuthManager.  => User::randomPassword() is deprecated in favor of a new method     PasswordFactory::generateRandomPasswordString()  => Are fixed.* MediaWiki will now auto-create users as necessary, removing the need for  extensions to do so. An 'autocreateaccount' right is added to allow  auto-creation when 'createaccount' is not granted to all users.  => Check, if this means that new users do not have to be added anymore in index_sso.php     Maybe they still have to, see createAndPromote.php, which adds them itself.  => Manually adding them is still needed.* AuthManager is concerned with logging in by supplying credentials  to Special:UserLogin or the like, and with creating accounts with  new credentials. This includes the usual username and password form  => Does our index_sso.php login script still work?!  => Creation of new and login of existing accounts?  => Works.h2. https://www.mediawiki.org/wiki/MediaWiki_1.27:* PHP extensions openssl and/or(?) mcrypt are required. Otherwise login might fail.  => Only one of them is needed, see https://www.mediawiki.org/wiki/Manual:$wgSessionInsecureSecrets  => Checked on the commandline: openssl is present, mcrypt is not. Is ok.  h2. RELEASE-NOTES-1.27* Required PHP extensions** ctype** iconv** json** mbstring (new requirement in 1.27)** xmlThe following PHP extensions are strongly recommended:** openssl=> Checked on the commandline: All present/enabled.* PHP session handling in general ($_SESSION, session_id(), and so on) is  deprecated. Use MediaWiki\Session\SessionManager instead.* Two new globals, $wgChangeCredentialsBlacklist and $wgRemoveCredentialsBlacklist  can be used to prevent the web UI and the API changing certain authentication data.  => Check, if otherwise changing the information, which the user should _not_ be able     to change would be changable and prevent this,     e.g. the email-address, the real name and the username.  => And for the API: action=resetpassword  => Prior to allowing any change, this requires the user to enter his password - which he does not know.  => Is ok.* The following functions have been removed:** wfEmptyMsg() was removed** wfMsgReal() was removed** wfMsgHtml() was removed** wfMsg() was removedDo we use them? If so, update them to whatever is appropriate, maybe with wfMessage().For replacements see https://www.mediawiki.org/wiki/Manual:Messages_API#Help_with_replacing_deprecated_wfMsg.2A_functions=> Are not used/fixed. Is ok.h2. Update our skinUse diff and adjust... Use Git for version control.Do the changes from inside the Vector repo:https://github.com/wikimedia/mediawiki-skins-Vector/''Old branch.'':https://github.com/wikimedia/mediawiki-skins-Vector/commits/REL1_26  ''New branch'':https://github.com/wikimedia/mediawiki-skins-Vector/commits/REL1_27?page=4Relevant are the commits from where the sha1 hashes for the ''same'' commit start becoming differentFirst one is 2015-09-23 = Add MediaWiki version requirement to skin.json* $wgPreloadJavaScriptMwUtil was removed (deprecated in 1.26).  Extensions, skins, gadgets and scripts that use the mediawiki.util module must  express a dependency on it.* $wgIncludeLegacyJavaScript, deprecated in MediaWiki 1.26, now defaults false.  Extensions, skins, gadgets and scripts that need the mediawiki.legacy.wikibits  module should express a dependency on it.  => Relevant for the skins? Searchbox overwrite JavaScript?  => Is working.  => Open a few pages and check the console for JS errors!  => Result: No errors.* Skins and extensions can now use FlexBox mixins (.flex-display(@display: flex)  and .flex(@grow: 1, @shrink: 1, @width: auto, @order: 1)) in Less to create  cross-browser-compatible FlexBox rules. Users will still need to add fallback  float rules or the like for compatibility with IE9- separately.* User::getSkin() was removed  => function getSkin is used in several places, but not the function from inside the User class. Is ok.* Skin update ready?!  => Compare with live system and check, if everything still looks the same.  => Is ok.=> Use Firebug to check for JavaScript errors and other problems (e.g. missing mediawiki.util)!* Inside the TOC, there is a new space between classes tocnumber and toctext, which is not underlined.  These are the 5px, where tocnumber has padding-right: 5px,  => Fix to make line run through again!     Untested: #toc ul li, .toc ul li {text-decoration: underline,}  => Also check typo3design!  => Is also a problem in Vector and will likely be solved there and can then be integrated for us.h2. Update CSS file(s) of the TYPO3Design skinNeeds ''update'':http://wiki.dev.typo3.org/User:Chrissitopher?useskin=typo3design=> Update done. Looks good.h2. Check list at http://wiki.dev.typo3.org/User:Chrissitopher=> Done, works.h2. Check sortable tablesE.g. at http://wiki.dev.typo3.org/User_talk:Chrissitopher=> Is ok.h2. Other stuff, that needs fixes* The file typo3conf/ext/ter_fe/res/icons/state_stable.gif  gets requested from typo3.org by something in the Sandbox page, but the file no longer is there.  => CSS class ''stable_unreviewed'', used in     TYPO3ExtensionInfo/entities/T3CMSExtensioninfo.php     TYPO3ExtensionInfo/renderer/T3CMSExtensionRenderer.php  => Fixed, uses pure CSS with the original colors from TER now.* Visiting the Sandbox and clicking around a bit in Firebug under Console > All shows  a number of deprecated messages. E.g.  Use of ''gM'' is deprecated. Use mw.message( ... ).parse() instead.  but there is no backtrace...  => Source might be a page on the wiki, e.g. MediaWiki:Common.js and friends,     something in the skin or something in an extension.  => Might be helpful: Firebug, Script tab, open side panel at the right hand side, see the variables...  => Search a DB dump for hits of these functions then. The text table might have some...  => Has also been present in MW 1.26 already, most likely not set by any custom code in our installation.  => Gets added by the MediaWiki Core, includes/OutputPage.php: getJSVars().* Integrate the fixes in SyntaxHighlight_GeSHi: SyntaxHighlight_GeSHi again:  New wheel file and change in SyntaxHighlight_GeSHi.lexers.php.  See https://forge.typo3.org/issues/71852  => Done.* Check Sandbox, e.g. highlighted things and fontsize in section ''Code''...  => Is ok.* Check, if the implementation of syntax highlighting for custom tags is still working  (after GeSHi switched to Pygments)  => Is working.* Check, if the Special:Preferences page still is styled, changes were in the commit from 2015-11-08.  Still untested, if the preferences have not been broken = are still styled at all.  => Styling is ok.---h2. Update extensions (part 2)h3. Our own, custom extensions* After looking through some extensions, e.g. Collection, UserMerge, ReplaceText, Poem, Syntaxhighlighting  there most likely really is exactly nothing to do here. Should all work as is.  => However, still test the extension functions, e.g. presence of the header on exception pages,     function of the <extension> and <issue> tags and so on...  => Are ok.h3. PDF export featureCheck that HTML in the left-hand menu is displayed as it should. Functionality also still needs a test.=> After upgrade, test on live system.=> Menu items are still there, but rendering of a page to PDF fails with   Book rendering failed: There was an error while attempting to render your book.   See #79038.h2. Order columns, remove db dumps in home/=> Is ok.h2. Remove mediawiki-1.27.1 and mediawiki-1.27.1.tar.gz in /home/wikidev/wwwh2. Copy Git repos and restore contentMove repos (skins, extensions) from dev to live and checkout their content.=> Done.h2. Transfer changes in LocalSettings.php to live system!=> Done.h2. Add changes in index_sso.php=> Adding a new user to the DB works. Different passwords set for different users?=> Changing an existing user's realname also works.=> Add changes to live instance.=> Done.h2. Check, if all pages linked in the main menu do still exist, otherwise update menu accordingly (TYPO3Vector + TYPO3Design)=> Done.h2. Create local backup and diff of skin filesE.g.diff -u Vector/skin.json TYPO3Design/skin.json > Vector-1.27-gegen-TYPO3Design-1.27.diffdiff -u Vector/Vector.php TYPO3Design/TYPO3Design.php >> Vector-1.27-gegen-TYPO3Design-1.27.diffdiff -u Vector/SkinVector.php TYPO3Design/SkinTYPO3Design.php >> Vector-1.27-gegen-TYPO3Design-1.27.diffdiff -u Vector/VectorTemplate.php TYPO3Design/TYPO3DesignTemplate.php >> Vector-1.27-gegen-TYPO3Design-1.27.diffdiff -u Vector/skin.json TYPO3Vector/skin.json > Vector-1.27-gegen-TYPO3Vector-1.27.diffdiff -u Vector/Vector.php TYPO3Vector/TYPO3Vector.php >> Vector-1.27-gegen-TYPO3Vector-1.27.diffdiff -u Vector/SkinVector.php TYPO3Vector/SkinTYPO3Vector.php >> Vector-1.27-gegen-TYPO3Vector-1.27.diffdiff -u Vector/VectorTemplate.php TYPO3Vector/TYPO3VectorTemplate.php >> Vector-1.27-gegen-TYPO3Vector-1.27.diffh2. Locally backup SingleSignOn code=> No longer needed. Is now part of the daily default backup.h2. diff wiki and wikidev and incorporate all changes=> Done.h2. For after the update* From the Git repos in extensions/ and skins/, do a checkout of branch 1.27.  In extensions/ download from mediawiki.org.  => Done.* index_sso.php: Additional migration tips:     https://www.mediawiki.org/wiki/Manual:SessionManager_and_AuthManager/Updating_tips  '"
76694;TYPO3 CMS - What's New;null;Bug;;New;Should have;Miscellaneous errors;Pierrick Caillon;Michael Schams;TYPO3 CMS 8.1;TYPO3 CMS 8.1;null;Sun Jun 19 15:36:00 EEST 2016;Sun Jun 19 15:36:00 EEST 2016;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"sorry, don't know if this is the right place to report this.Today, i was reading the very nice english TYPO3 Inside Documentation.In this chapterhttps://docs.typo3.org/typo3cms/InsideTypo3Reference/CoreArchitecture/AccessControl/AccessControlOptions/Index.html#access-listsis a link for more information to a Topic -> ''Getting Started tutorial.'' but this link leads to the french Version of the ''Getting Started tutorial''.Maybe this could be changed.Best Regards'"
76253;wiki.typo3.org;null;Task;;Resolved;Should have;Update MediaWiki to 1.26.3;Chris topher;Chris topher;;;null;Fri May 20 19:42:00 EEST 2016;Fri May 20 20:09:00 EEST 2016;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"* InDepthChanges.tex:''Feature: #75454 - PHP Library Doctrine DBAL (2)'': §4 ''select, update and delete'' -> ''select, update and delete'' ('d' in ''and'' missing)* InDepthChanges.tex:''Feature: #75454 - PHP Library Doctrine DBAL (3)'': listing line 2, ''Connecction'' instead of ''Connection''* InDepthChanges.tex:''Feature: #75454 - PHP Library Doctrine DBAL (3)'': listing line 10, missing quote after ''aTable''* InDepthChanges.tex:''Feature: #70056 - PHP Library ''Guzzle'' (2)'': listing line 7, ''$uri = $additionalOptions'' (uri variable not used, but url is used. Same value is not expected for additionalOptions and url. An url is missing)'"
76095;TYPO3 CMS - What's New;null;Bug;;Under Review;Should have;ObjectStorage.array : Invalid index in example;Pierrick Caillon;Michael Schams;TYPO3 CMS 8.0;TYPO3 CMS 8.0;null;Mon May 09 15:31:00 EEST 2016;Tue May 17 13:12:00 EEST 2016;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"Also check extensions, which might be vulnerable as well.'"
76079;TYPO3 CMS - What's New;null;Bug;;Under Review;Must have;English - InDepthChanges - Duplicated paragraph from previous slide;Pierrick Caillon;Michael Schams;TYPO3 CMS 8.0;TYPO3 CMS 8.0;null;Sat May 07 16:24:00 EEST 2016;Tue May 17 13:01:00 EEST 2016;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"It tells it shows how to retrieve the 4th element, but it is the 5th which is retrieved, because the array starts at 0, not 1.The error is also present in the source ticket and feature file.Slide ID: 66f49b79-4de7bb91-25472149-88b0761f'"
76078;TYPO3 CMS - What's New;null;Bug;;Under Review;Should have;English - wrong word or duplicate;Pierrick Caillon;Michael Schams;TYPO3 CMS 8.0;TYPO3 CMS 8.0;null;Sat May 07 16:22:00 EEST 2016;Wed May 18 10:08:00 EEST 2016;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"The paragraph text is ''The API resides in class \TYPO3\CMS\Core\Crypto\Random'''"
76077;TYPO3 CMS - What's New;null;Bug;;Under Review;Could have;English - Miscellaneous typo;Pierrick Caillon;Michael Schams;TYPO3 CMS 8.0;TYPO3 CMS 8.0;null;Sat May 07 16:19:00 EEST 2016;Wed May 18 10:10:00 EEST 2016;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"* InDepthChanges.tex - f1e7026b-89f2170f-b8d1e483-2667df6f: ''to be executed by typo3 is an associative'' should be ''to be executed by typo3 in an associative''? (''is'' cannot be used with this sentence structure, present in the feature file)* InDepthChanges.tex c3e97b40-b0d84171-98d2011d-19a838a1: ''created for (e.g. for caching'' should be ''created (e.g. for caching'''"
76073;TYPO3 CMS - What's New;null;Bug;;Under Review;Should have;BUI: Slide 3 - Misleading title;Pierrick Caillon;Michael Schams;TYPO3 CMS 8.0;TYPO3 CMS 8.0;null;Sat May 07 11:46:00 EEST 2016;Sat May 07 16:07:00 EEST 2016;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"* TypoScript.tex: version 7.6 in header* TypoScript.tex - 742f3490-afa200e1-19572e49-4f1a981a: missing closing parenthesis in last paragraph* InDepthChanges.tex: version 7.6 in header* ExtbaseAndFluid.tex: version 7.6 in header* DeprecatedRemovedFunctions.tex: version 7.6 in header* SourcesAndAuthors.tex: version 7.6 in header'"
75990;TYPO3 CMS - What's New;null;Task;;Resolved;Should have;Transfer TYPO3 CMS 8.0 slides to git.typo3.org;Michael Schams;Michael Schams;TYPO3 CMS 8.0;TYPO3 CMS 8.0;null;Sat Apr 30 07:20:00 EEST 2016;Sat Apr 30 08:06:00 EEST 2016;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"The actual title is ''Copy pages in drag & drop mode''. The feature title is ''Page module: drag and drop supports copying now''.Reading only the title, it made me think the page tree support making a copy of a page using drag and drop. However the feature is to be able to create duplicate of content element in the module using drag & drop with CTRL key.I think the title should be something like ''Pages: copy elements with drag & drop'' or ''Pages: drag & drop can copy elements'''"
75839;TYPO3 Skinning Reference;null;Feature;;New;Should have;2 Icons for intermediate tables;David Bruchmann;;;;null;Thu Apr 21 13:17:00 EEST 2016;Thu Apr 21 13:17:00 EEST 2016;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"This task applies to the following languages: Dutch, English, German, Greek, Italian and Spanish.'"
75712;TYPO3 CMS - What's New;null;Bug;;Resolved;Should have;Some bugs/suggestions;Sergio Catalá;;TYPO3 CMS 8.0;TYPO3 CMS 8.0;null;Sat Apr 16 13:57:00 EEST 2016;Sat Apr 30 08:06:00 EEST 2016;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"http://stackoverflow.com/questions/26733567/typo3-extbase-irre-add-existing-records-with-foreign-selector/26746960#26746960... tables should have the possibility getting two icons assigned.While it's in general possible to override any icons with hooks like overrideIconOverlay it's much work and I never found any description about that, so I still have to fiddle that out, especially concerning ajax-calls from inside of inherited BE-forms.An option to assign two different icons where each one is used depending on the perspective, the logic of IRRE would be much more comfortable.I know it's getting deeper than just skinning, so I don't mind if the issue is sorted somewhere else.'"
75146;Documentation;null;Bug;;New;Should have;"Wrong version on api.typo3.org for ""current stable""";Armin Vieweg;;;;null;Wed Mar 16 14:53:00 EET 2016;Wed Mar 16 14:54:00 EET 2016;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"- Line 136 of InDepthChange'"
74539;Templating Tutorial;null;Bug;;New;Should have;Copying the template files to the right place - no folder existing;Benjamin schäfer;;;;null;Wed Mar 09 16:30:00 EET 2016;Wed Mar 09 16:30:00 EET 2016;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"E.g. some ViewHelpers are missing, like the If- or CycleViewHelper:!2016_03_15 21_12.png!But the 7.6 branch of TYPO3 still contains these viewhelpers:https://git.typo3.org/Packages/TYPO3.CMS.git/tree/refs/heads/TYPO3_7-6:/typo3/sysext/fluid/Classes/ViewHelpersSo I guess, there is just a wrong version/branch configured in the script which triggers doxygen. '"
74362;TYPO3 CMS - What's New;null;Task;;Resolved;Should have;Transfer TYPO3 CMS 7 LTS slides to git.typo3.org;Michael Schams;Michael Schams;TYPO3 CMS 7.6 (CMS 7 LTS);;null;Sun Mar 06 02:40:00 EET 2016;Sun Mar 06 02:53:00 EET 2016;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;""
