#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Tags
69305,TCA Reference,Bug,"",Resolved,Should have,Document default value of enableCascadingDelete,Michael Knabe,"",2015-08-25 19:42,"","",2015-08-25,"","",100,2015-08-25 12:51,"","",-449900,"",""
69154,Documentation Rendering,Bug,"",New,Should have,Invalid lang attribute for translated manual,Thomas Mayer,"",2015-08-20 12:28,"","",2015-08-18,"","",0,2015-08-18 15:38,"","",-442350,"",""
69130,TYPO3 CMS - What's New,Bug,"",Closed,Should have,slightly incorrect explanation in chapter TSconfig & TypoScript,Michael Schams,"",2016-03-06 02:31,TYPO3 CMS 7.4,TYPO3 CMS 7.4,2015-08-17,"","",0,2015-08-17 15:31,"","",-441150,"",""
69091,TYPO3 CMS - What's New,Bug,"",Closed,Should have,"typo in chapter 3, slide GalleryProcessor (lstlisting)",Michael Schams,"",2016-03-06 02:30,TYPO3 CMS 7.4,TYPO3 CMS 7.4,2015-08-16,"","",0,2015-08-16 02:15,"","",-439200,"",""
68677,wiki.typo3.org,Bug,"",Resolved,Must have,[SECURITY] Disallow access to directories of version control systems,Chris topher,Chris topher,2015-07-31 16:47,"","",2015-07-31,"","",100,2015-07-31 16:09,"","",-419300,"",""
67529,TYPO3 CMS - What's New,Bug,"",Closed,Should have,Some corrections for 7.3 version,Sergio Catalá,"",2015-08-09 08:07,"","",2015-06-16,"","",0,2015-06-16 22:20,"","",-361900,"",""
67215,TypoScript in 45 Minutes,Bug,"",Resolved,Should have,@ is no Ampersand,Christian Gebel,Chris topher,2015-05-31 12:15,"","",2015-05-30,"","",100,2015-05-30 23:38,"","",-346200,"",""
67214,TypoScript in 45 Minutes,Bug,"",Resolved,Should have,Broken/Unrendered link,Christian Gebel,Chris topher,2015-05-31 12:23,"","",2015-05-30,"","",100,2015-05-30 23:29,"","",-346150,"",""
67177,wiki.typo3.org,Bug,"",Resolved,Should have,"Make page ""Special:Tags"" accessible",Chris topher,Chris topher,2015-05-29 13:45,"","",2015-05-28,"","",100,2015-05-28 15:02,"","",-344300,"",""
66765,TYPO3 CMS - What's New,Bug,"",Resolved,Should have,Typos in English version,Michel Mix,Michael Schams,2015-05-16 12:17,TYPO3 CMS 7.2,TYPO3 CMS 7.2,2015-05-03,"","",0,2015-05-03 08:27,"","",-323700,"",""
66617,Documentation Rendering,Bug,Epic #60470: Enhance PDF rendering,New,Should have,Cross-links are broken,Xavier Perseguers,"",2015-04-28 09:23,"","",2015-04-28,"","",0,2015-04-28 09:23,"","",-316300,"",""
66418,Documentation,Bug,"",New,Should have,Open Content License: dead link in all docs,Michael Schams,"",2015-08-26 22:27,"","",2015-04-14,"","",0,2015-04-14 12:19,"","",-306650,"",""
65966,Documentation Rendering,Bug,"",Resolved,Must have,Git change-merged notification is failing,Martin Bless,Martin Bless,2015-04-11 22:20,"","",2015-03-24,"","",70,2015-03-24 10:16,"","",-284050,"",""
65805,TYPO3 CMS - What's New,Bug,"",Resolved,Should have,Correct typo in path (country flags),swanage no-lastname-given,Michael Schams,2015-03-24 12:17,TYPO3 CMS 7.1,"",2015-03-18,"","",100,2015-03-18 13:54,"","",-276000,"",""
65796,Security Guide,Bug,"",Resolved,Should have,"Update info about ""reviewed extensions""",Michael Schams,Michael Schams,2015-11-20 04:58,Guidelines for Integrators,"",2015-03-18,"",0.50,0,2015-03-18 00:14,"","",-275550,"",""
65350,TYPO3 CMS - What's New,Bug,"",Resolved,Should have,Missing word in TypoScript.tex file,Sergio Catalá,"",2015-02-26 09:30,"","",2015-02-25,"","",0,2015-02-25 22:31,"","",-253250,"",""
65313,TYPO3 CMS - What's New,Bug,"",Resolved,Should have,Naming of chapter BackendUI under DeprecatedRemovedFunctions.tex file,Sergio Catalá,"",2015-02-26 09:29,"","",2015-02-25,"","",0,2015-02-25 10:34,"","",-251400,"",""
65310,TYPO3 CMS - What's New,Bug,"",Resolved,Should have,Typo in ExtbaseAndFluid.text file,Sergio Catalá,"",2015-02-26 09:28,"","",2015-02-25,"","",0,2015-02-25 10:19,"","",-251250,"",""
65221,TYPO3 CMS - What's New,Bug,"",Resolved,Should have,Typo in InDepthChanges.text file,Sergio Catalá,"",2015-02-23 01:31,"","",2015-02-22,"","",0,2015-02-22 23:13,"","",-246800,"",""
65168,TypoScript Reference (TSref),Bug,"",New,Should have,"config.concatenateJsAndCss marked ""deprecated and has been removed with TYPO3 6.0"", but still works in 6.2",Ben Robinson,"",2015-03-06 18:06,"","",2015-02-19,"","",0,2015-02-19 11:50,"","",-244150,"",""
65134,TYPO3 CMS - What's New,Bug,"",Resolved,Should have,Update release date: 24/Feb/2015,Michael Schams,"",2015-05-16 05:23,TYPO3 CMS 7.1,TYPO3 CMS 7.1,2015-02-17,"","",0,2015-02-17 22:48,"","",-242450,"",""
65121,TYPO3 CMS - What's New,Bug,"",Resolved,Should have,Typo3 in BackendUserInterface.text file,Sergio Catalá,Michael Schams,2015-02-17 11:47,TYPO3 CMS 7.1,TYPO3 CMS 7.1,2015-02-17,"","",100,2015-02-17 11:25,"","",-241800,"",""
65042,Documentation,Bug,"",Closed,Should have,Wrong function in Example to get TSFE.constants,David Bruchmann,"",2015-02-13 08:26,"","",2015-02-12,"","",100,2015-02-12 22:14,"","",-237850,"",""
64609,TCA Reference,Bug,"",Accepted,Should have,TCA group allowed/disallowed,Thomas Deuling,Francois Suter,2015-09-27 11:32,"",6.2.0,2015-01-29,"","",0,2015-01-29 18:02,"","",-216200,"",""
63901,Documentation Rendering,Bug,"",New,Should have,Core APIS does not render to PDF,Francois Suter,"",2015-01-26 17:58,"","",2014-12-15,"","",0,2014-12-15 11:54,"","",-180850,"",""
63820,wiki.typo3.org,Bug,"",Resolved,Should have,Typo3 4.5.39 upgrade notes reference non-existing option in install tool.,Stefan no-lastname-given,Chris topher,2014-12-13 19:59,"","",2014-12-13,"","",100,2014-12-13 00:48,"","",-176800,"",""
63819,wiki.typo3.org,Bug,Task #63562: Update the Wiki to MediaWiki 1.24,Resolved,Should have,MediaWiki 1.24: Fix fatal error (open_basedir),Chris topher,Chris topher,2014-12-12 21:19,"","",2014-12-12,"","",100,2014-12-12 20:53,"","",-176750,"",""
63789,Documentation Rendering,Bug,Task #68900: Extend RenderTask.php to render every manual,Accepted,Must have,extensions.js file not updated with system extensions,Francois Suter,Xavier Perseguers,2015-12-18 23:23,"","",2014-12-11,"","",50,2014-12-11 22:03,"","",-175250,"",""
63788,Documentation Rendering,Bug,Task #68900: Extend RenderTask.php to render every manual,Resolved,Must have,Settings file ignore for TYPO3 CMS sysext,Francois Suter,Martin Bless,2015-12-18 23:13,"","",2014-12-11,"","",0,2014-12-11 22:00,"","",-175200,"",""
63787,Documentation Rendering,Bug,Task #68900: Extend RenderTask.php to render every manual,New,Must have,"Hide ""latest"" branch for official manuals",Francois Suter,"",2015-08-10 08:02,"","",2014-12-11,"","",0,2014-12-11 21:58,"","",-175150,"",""
63485,ReStructured Text Infrastructure,Bug,"",New,Should have,Rendering issue on Flow documentation,Christian Müller,"",2014-12-01 17:04,"","",2014-12-01,"","",0,2014-12-01 17:04,"","",-160100,"",""
63363,TSconfig,Bug,"",Closed,Should have,?? ???????????? ???????? ?? 15?? ????????,Ivan Mihailovich,"",2015-12-06 21:45,"","",2014-11-27,"","",0,2014-11-27 12:20,"","",-154000,"",""
63361,TSconfig,Bug,"",Closed,Should have,?? ???????????? ????????+???????? ?? ??????? ?????? ?? ?????.,Ivan Mihailovich,"",2015-12-06 21:43,"","",2014-11-27,"","",0,2014-11-27 11:42,"","",-153900,"",""
63360,TSconfig,Bug,"",Closed,Should have,??????? ?????????? ???????????.,Ivan Mihailovich,"",2016-08-06 14:42,"","",2014-11-27,"","",0,2014-11-27 11:33,"","",-153850,"",""
63010,TSconfig,Bug,"",Closed,Should have,"Implement ""clear cache of page and all sub pages"" by correct tagging,  use in template module",Christian Kuhn,"",2014-11-16 17:17,"","",2014-11-16,"","",0,2014-11-16 16:22,"","",-136400,"",""
63009,TSconfig,Bug,"",Closed,Should have,Document options.pageTree.altElementBrowserMountPointsAppend setting,Alexander Stehlik,"",2016-08-06 15:14,"","",2014-11-16,"","",0,2014-11-16 14:52,"","",-136350,"",""
62818,TypoScript Reference (TSref),Bug,"",Closed,Should have,config.doctype: Fallback to HTML4 is not correct any more,aimcom no-lastname-given,Francois Suter,2014-11-27 14:04,"",6.2,2014-11-10,"","",100,2014-11-10 11:45,"","",-126800,"",""
62635,Documentation Rendering,Bug,Epic #60470: Enhance PDF rendering,New,Should have,Native high resolution images are too small in PDF,Xavier Perseguers,Xavier Perseguers,2014-11-03 08:39,"","",2014-11-03,"","",0,2014-11-03 07:25,"","",-117650,"",""
62200,Documentation Rendering,Bug,Task #68900: Extend RenderTask.php to render every manual,Resolved,Should have,"Avoid ""Versions"" menu when no versions are available",Francois Suter,Martin Bless,2015-12-18 23:03,"","",2014-10-13,"","",0,2014-10-13 21:32,"","",-95900,"",""
61979,Core APIs,Bug,"",Rejected,Should have,Unable to connect to SignalSlot Dispatcher,Gianluca Strafella,"",2014-09-30 15:41,"",6.2,2014-09-30,"","",0,2014-09-30 15:28,"","",-84900,"",""
61233,TypoScript Syntax,Bug,"",Closed,Must have,Typoscript media resource from page in HMENU duplicate or missing (CUR),Simon Huebner,"",2015-12-06 22:43,"","",2014-08-27,"","",0,2014-08-27 21:24,"","",-47800,"",""
61130,ReST tools,Bug,"",Resolved,Should have,Same warnings.txt file for all extensions,Francois Suter,Xavier Perseguers,2014-08-25 08:57,"","",2014-08-21,"","",100,2014-08-21 21:52,"","",-42650,"",""
61029,Coding Guidelines,Bug,"",Closed,Must have,Update copyright header,Patrick Schriner,Michael Schams,2014-10-20 15:52,"","",2014-08-18,"",0.25,100,2014-08-18 12:59,"","",-37600,"",""
61005,Documentation Rendering,Bug,Epic #60470: Enhance PDF rendering,New,Should have,Improve positioning of figures in PDF files,Chris topher,"",2014-10-02 12:10,"","",2014-08-16,"","",0,2014-08-16 15:37,"","",-36400,"",""
60997,Documentation Rendering,Bug,Epic #60470: Enhance PDF rendering,Resolved,Should have,Add linebreaks in literal blocks,Chris topher,Chris topher,2014-09-25 13:26,"","",2014-08-15,"","",100,2014-08-15 15:21,"","",-36000,"",""
60962,Documentation Rendering,Bug,Epic #60470: Enhance PDF rendering,Resolved,Should have,Adjust colors in PDFs,Chris topher,Chris topher,2015-02-20 11:38,"","",2014-08-13,"","",100,2014-08-13 19:34,"","",-34250,"",""
60879,Documentation,Bug,"",New,Should have,ReST Documentation of extension placements not rendered after upload to TER,Dirk Wenzel,"",2014-08-11 17:01,Manuals,"",2014-08-10,"","",0,2014-08-10 20:08,"","",-30100,"",""
60870,ReST tools,Bug,"",Resolved,Should have,Improve ref-targets-list directive,Chris topher,Chris topher,2014-09-25 16:28,"","",2014-08-09,"","",100,2014-08-09 15:58,"","",-29650,"",""
60838,Documentation Rendering,Bug,"",Resolved,Should have,Fix broken search in the singlehtml versions,Chris topher,Chris topher,2014-08-07 12:46,"","",2014-08-07,"","",100,2014-08-07 12:25,"","",-28100,"",""
60682,Documentation,Bug,"",Resolved,Should have,Links to version pages on forge are not working anymore,Christian Nölle,"",2014-08-04 16:35,"","",2014-07-30,"","",100,2014-07-30 14:53,"","",-20300,"",""
60500,TYPO3.Docs,Bug,"",New,Should have,Add UserAuthentication,Marc Neuhaus,Marc Neuhaus,2014-07-23 15:20,"","",2014-07-23,"","",0,2014-07-23 15:20,"","",-11200,"",""
60290,FAL Documentation,Bug,"",Resolved,Should have,Fix a broken sentence on DAM,Franz Holzinger,Chris topher,2016-04-18 20:30,"","",2014-07-12,"","",100,2014-07-12 17:05,"","",-700,"",""
26507,TypoScript Reference (TSref),Bug,"",Resolved,Should have,Each cObj should have a short introduction of what it does,Chris topher,Chris topher,2011-06-14 18:37,"",4.5.1,2011-04-29,"","",100,2011-04-29 16:17,"","",102850,"",""
26522,TypoScript Reference (TSref),Bug,"",Closed,Should have,"Document ""printBeforeContent"" for cObject EDITPANEL",Chris topher,Francois Suter,2011-05-20 21:15,"",4.5.0,2011-04-30,"","",100,2011-04-30 04:40,"","",103550,"",""
26525,TypoScript Reference (TSref),Bug,"",Closed,Should have,Documentation of stdWrap for GIFBUILDER,Chris topher,Chris topher,2013-04-12 14:39,"","",2011-04-30,"","",100,2011-04-30 16:58,"","",103700,"",""
26537,TypoScript Reference (TSref),Bug,"",Resolved,Should have,filelink: Property icon_thumbSize is not documented,Chris topher,Chris topher,2011-06-13 18:05,"",4.5.1,2011-05-01,"","",100,2011-05-01 17:16,"","",104300,"",""
26541,TypoScript Reference (TSref),Bug,"",Closed,Should have,Improve description of cObject TEMPLATE,Chris topher,Chris topher,2011-05-17 18:35,"",4.5.0,2011-05-01,"","",100,2011-05-01 20:52,"","",104500,"",""
26543,TypoScript Reference (TSref),Bug,"",Closed,Should have,Note on deprecation of the content object PHP_SCRIPT,Chris topher,"",2011-05-21 01:19,"",4.5.0,2011-05-02,"","",100,2011-05-02 00:59,"","",104600,"",""
26578,Installation and Upgrade Guide,Bug,"",Rejected,Must have,Italian flag on front page,Patrik Nasfors,Francois Suter,2011-05-03 12:26,"","",2011-05-03,"","",0,2011-05-03 11:50,"","",106300,"",""
26579,Getting Started,Bug,"",Rejected,Must have,Italian flag on front page,Patrik Nasfors,Francois Suter,2011-05-03 12:04,"","",2011-05-03,"","",0,2011-05-03 11:51,"","",106350,"",""
26652,TSconfig,Bug,"",Closed,Should have,Information on how to configure TCA markers is missing,Francois Suter,Chris topher,2011-10-27 21:07,"",4.6.0,2011-05-05,"","",100,2011-05-05 22:27,"","",109750,"",""
26719,Inside TYPO3,Bug,"",Resolved,Should have,External links point to local source,Jan Loderhose,"",2014-07-06 18:19,"","",2011-05-10,"","",100,2011-05-10 09:00,"","",112900,"",""
27158,TSconfig,Bug,"",Closed,Should have,Description of mod.web_layout.disableAdvanced is incomplete,Urs Braem,Chris topher,2011-10-27 21:10,"",4.5.2,2011-05-31,"","",100,2011-05-31 10:44,"","",133300,"",""
28061,Coding Guidelines,Bug,"",Resolved,Should have,Section about deprecation not complete,Rutishauser Katrin,Chris topher,2013-05-05 23:08,"","",2011-07-09,"","",100,2011-07-09 23:07,"","",175950,"",""
28364,TSconfig,Bug,"",Closed,Should have,Some FlexForm configuration keys are not described,Stig Nørgaard Færch,Chris topher,2011-10-28 17:52,"",4.6.0,2011-07-21,"","",100,2011-07-21 11:41,"","",190950,"",""
28365,TSconfig,Bug,"",Closed,Should have,table.[tablename].hideTable - wrong description,Stig Nørgaard Færch,Christian Woebbeking,2011-10-27 21:07,"",4.6.0,2011-07-21,"","",100,2011-07-21 11:54,"","",191000,"",""
28569,wiki.typo3.org,Bug,"",Resolved,Must have,Recover Password Functionality is missing,Chinawut Phongphasook (Champ),Chris topher,2011-12-09 15:37,"","",2011-07-29,"","",100,2011-07-29 14:24,"","",200600,"",""
28653,wiki.typo3.org,Bug,"",Resolved,Should have,OpenSearch Link is broken,Martin Holtz,Chris topher,2011-11-20 20:20,"","",2011-08-01,"","",100,2011-08-01 21:16,"","",204650,"",""
28755,TypoScript Reference (TSref),Bug,"",Resolved,Should have,List of allowed tables in the cObject CONTENT is incomplete,Calderini Daniel,Chris topher,2011-09-05 12:10,"",4.5.1,2011-08-04,"","",100,2011-08-04 14:57,"","",209750,"",""
28764,Getting Started,Bug,"",Closed,Should have,Fix typos,Tomoko ,Christian Woebbeking,2016-08-06 13:55,"","",2011-08-04,"",2.00,0,2011-08-04 16:40,"","",210200,"",""
28941,TypoScript in 45 Minutes,Bug,"",Closed,Must have,"Object Reference, wrong Syntax",Tobias Hoevelborn,Chris topher,2013-02-07 21:17,"","",2011-08-12,"","",100,2011-08-12 09:20,"","",219000,"",""
28953,TypoScript in 45 Minutes,Bug,"",Closed,Must have,Wrong optionSplit in example code,Tobias Hoevelborn,Chris topher,2013-02-25 22:58,"",6.0 (released as version 1.2.0,2011-08-12,"","",100,2011-08-12 16:26,"","",219600,"",""
29124,Documentation,Bug,"",Closed,Should have,Make the current version of TYPO3 Core API documentation linkable,Nico de Haen,Francois Suter,2011-08-23 09:23,"","",2011-08-20,"","",0,2011-08-20 09:22,"","",227950,"",""
29129,TYPO3 Skinning Reference,Bug,"",New,Should have,Documentation of table styling (TYPO3 4.6),Chris topher,"",2012-06-04 22:09,"","",2011-08-20,"","",0,2011-08-20 13:48,"","",228200,"",""
30011,TYPO3 Skinning Reference,Bug,"",New,Should have,"Error in example provided in the ""Skinning API"" Section",Presedo Roberto,"",2012-07-31 18:46,"","",2011-09-19,"","",0,2011-09-19 11:18,"","",271100,"",""
30210,Templating Tutorial,Bug,"",Resolved,Should have,New Templating Tutorial,Chris topher,"",2011-11-06 17:42,"","",2011-09-22,"","",100,2011-09-22 20:50,"","",281050,"",""
30266,TSconfig,Bug,"",Closed,Should have,Wrong key for FF sheet titles,Andreas Wolf,Christian Woebbeking,2011-10-27 21:07,"",4.6.0,2011-09-25,"","",100,2011-09-25 11:55,"","",283800,"",""
30408,Getting Started,Bug,"",Closed,Could have,Note for Translators: reference to the section on localization in the early page of tutorial and images on native language.,Andrey Aksenov,"",2016-08-06 14:05,"","",2011-09-29,"","",0,2011-09-29 09:40,"","",290900,"",""
30625,Official Doc Extension Template,Bug,"",Closed,Should have,Remove reference to deleted Wiki page,Chris topher,Chris topher,2012-03-22 17:14,"",1.6.2,2011-10-07,"","",100,2011-10-07 14:33,"","",301400,"",""
30795,Getting Started,Bug,"",Resolved,Should have,"Update the manual to reflect that the Introduction Package does not show the option ""secondary palette""",Andrey Aksenov,"",2011-10-12 10:11,"","",2011-10-11,"","",0,2011-10-11 13:20,"","",309650,"",""
30877,Extbase Book Translation,Bug,"",Resolved,Should have,Convert table into reStructuredText,Fabien Udriot,Fabien Udriot,2011-10-17 17:30,"",English Version,2011-10-13,"","",100,2011-10-13 10:09,"","",313700,"",""
31346,TSconfig,Bug,"",Closed,Should have,Fix formal issues,Chris topher,Chris topher,2011-10-27 21:07,"",4.6.0,2011-10-27,"","",100,2011-10-27 16:34,"","",336550,"",""
31385,TSconfig,Bug,"",Closed,Should have,Fix description of FlexForm configuration keys,Chris topher,Chris topher,2012-04-23 20:47,"",4.7.0,2011-10-28,"","",100,2011-10-28 17:51,"","",338500,"",""
31412,TYPO3 Services,Bug,"",New,Should have,How to retrieve a service by key,Francois Suter,"",2011-10-30 10:58,"","",2011-10-30,"","",0,2011-10-30 10:58,"","",339850,"",""
31491,Templating Tutorial,Bug,"",New,Should have,Create a demo TYPO3 installation and test the new template,Sabine Hueber,"",2011-11-01 13:25,"","",2011-11-01,"","",0,2011-11-01 13:25,"","",343700,"",""
31581,Coding Guidelines,Bug,"",Closed,Should have,Code samples for long conditions do not follow CGLs,Francois Suter,"",2013-05-05 23:25,"","",2011-11-04,"","",100,2011-11-04 14:04,"","",348150,"",""
31584,Templating Tutorial,Bug,"",Resolved,Should have,"ID ""title"" is used twice",Chris topher,Chris topher,2011-11-13 14:57,"",1.0.0,2011-11-04,"","",100,2011-11-04 17:25,"","",348300,"",""
31585,Templating Tutorial,Bug,"",Resolved,Should have,HTML template has closing divs in excess,Chris topher,Sabine Hueber,2011-11-04 19:59,"",1.0.0,2011-11-04,"","",100,2011-11-04 18:01,"","",348350,"",""
31595,Templating Tutorial,Bug,"",Resolved,Should have,Meta navigation contains invisible links,Chris topher,Chris topher,2011-11-06 14:29,"",1.0.0,2011-11-05,"","",100,2011-11-05 13:05,"","",348850,"",""
31597,Templating Tutorial,Bug,"",Resolved,Should have,Remove the marker PRINT,Chris topher,Chris topher,2011-11-05 23:57,"",1.0.0,2011-11-05,"","",100,2011-11-05 14:51,"","",348950,"",""
